Total Wait Time,Cars Processed,Average Wait Time At An Intersection,Number Of Journeys Processed,Total Journey Time,Average Journey Time,Recording Duration,,,
705472,75591,9.332751253,2440,389623,159.6815574,900,,,
,,,,,,,,,
Intersection ID,Number Of Segments,Number Of Outgoing One Way Segments,Number Of Incoming One Way Segments,Total Time Waiting At Intersection,Number Of Vehicles Processed,Average Wait Time At Intersection,Rounded Wait Times,Average Wait Time,Occurences
28471,3,0,0,8294,445,18.63820225,19,,
28563,3,0,0,7297,1725,4.230144928,4,,
28654,3,0,0,1267,758,1.671503958,2,,
28705,3,0,0,1624,321,5.059190031,5,,
28763,3,0,0,18062,471,38.34819533,38,,
29612,3,0,0,6859,2286,3.000437445,3,,
30204,3,0,0,1463,347,4.216138329,4,,
30329,4,0,0,7482,146,51.24657534,51,,
30678,4,0,0,17013,1861,9.141859215,9,,
30697,4,0,0,7660,643,11.91290824,12,,
31460,3,0,0,814,440,1.85,2,,
31594,3,0,0,921,459,2.006535948,2,,
31633,3,0,0,4447,1048,4.243320611,4,,
31880,4,0,0,6350,1892,3.356236786,3,,
32551,4,0,0,7561,833,9.076830732,9,,
